Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,25.9,1,18,2,11.1,0.70,0.08,0.06,0.50,20.5,0,0,0,1.0,1.0,0.05,0.0,0.0
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,29.6,9,55,31,56.4,1.86,1.05,0.16,0.29,13.8,0,0,0,9.8,9.8,0.18,-0.8,-0.8
19,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,21,20.6,1,7,4,57.1,0.34,0.19,0.14,0.25,17.6,0,0,0,1.3,1.3,0.19,-0.3,-0.3
20,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,27,5.3,2,23,7,30.4,4.32,1.32,0.09,0.29,15.3,0,0,0,2.1,2.1,0.10,-0.1,-0.1
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,32.8,0,18,5,27.8,0.55,0.15,0.00,0.00,10.5,0,0,0,1.1,1.1,0.06,-1.1,-1.1
22,Bobby Adekanye,nl NED,"FW,MF",Cádiz,es La Liga,21,0.4,0,1,0,0.0,2.50,0.00,0.00,,17.1,0,0,0,0.3,0.3,0.34,-0.3,-0.3
23,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,26.9,2,24,9,37.5,0.89,0.33,0.08,0.22,20.0,1,0,0,1.9,1.9,0.08,+0.1,+0.1
24,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
25,Adrián,es ESP,GK,Liverpool,eng Premier League,33,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
26,Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,24,17.3,0,2,0,0.0,0.12,0.00,0.00,,15.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
27,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,8.9,0,2,0,0.0,0.23,0.00,0.00,,19.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
28,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,7.8,1,4,1,25.0,0.51,0.13,0.25,1.00,19.3,0,0,0,0.6,0.6,0.15,+0.4,+0.4
29,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,15.1,1,19,4,21.1,1.26,0.27,0.05,0.25,17.2,0,0,0,1.5,1.5,0.08,-0.5,-0.5
30,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,35.0,3,28,6,21.4,0.80,0.17,0.11,0.50,10.1,0,0,0,3.2,3.2,0.12,-0.2,-0.2
31,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,32,6.2,4,17,10,58.8,2.74,1.61,0.18,0.30,14.6,0,1,2,3.5,1.9,0.11,+0.5,+1.1
32,Ruben Aguilar,fr FRA,"DF,MF",Monaco,fr Ligue 1,27,24.7,1,8,3,37.5,0.32,0.12,0.13,0.33,11.0,0,0,0,0.9,0.9,0.11,+0.1,+0.1
33,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2.8,0,5,1,20.0,1.79,0.36,0.00,0.00,23.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2
34,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,10.0,2,12,7,58.3,1.20,0.70,0.17,0.29,22.5,0,0,0,1.4,1.4,0.11,+0.6,+0.6
35,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26,23.8,2,31,6,19.4,1.30,0.25,0.06,0.33,21.3,0,0,0,2.3,2.1,0.07,-0.3,-0.1
36,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,0.4,0,2,1,50.0,5.00,2.50,0.00,0.00,16.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
37,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,14.3,0,9,0,0.0,0.63,0.00,0.00,,14.9,0,0,0,0.8,0.8,0.09,-0.8,-0.8
38,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,29.6,2,14,4,28.6,0.47,0.14,0.14,0.50,24.6,1,0,0,1.2,1.2,0.09,+0.8,+0.8
39,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,19,15.6,1,15,6,40.0,0.96,0.38,0.07,0.17,19.8,0,0,0,0.6,0.6,0.04,+0.4,+0.4
40,Rayan Aït Nouri,dz ALG,DF,Angers,fr Ligue 1,19,2.1,0,1,0,0.0,0.48,0.00,0.00,,14.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1
41,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,30.9,2,13,4,30.8,0.42,0.13,0.15,0.50,9.8,0,0,0,1.9,1.9,0.15,+0.1,+0.1
42,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,26,33.0,16,66,30,45.5,2.00,0.91,0.18,0.40,15.0,0,4,5,15.7,11.8,0.18,+0.3,+0.2
43,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,26.1,2,19,4,21.1,0.73,0.15,0.11,0.50,13.9,0,0,0,1.7,1.7,0.09,+0.3,+0.3
44,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,9.6,1,2,1,50.0,0.21,0.10,0.50,1.00,23.4,0,0,0,0.3,0.3,0.17,+0.7,+0.7
45,Marley Aké,fr FRA,FW,Marseille,fr Ligue 1,19,1.6,0,4,0,0.0,2.47,0.00,0.00,,12.7,0,0,0,1.0,1.0,0.26,-1.0,-1.0
46,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,8.9,1,3,1,33.3,0.34,0.11,0.33,1.00,15.5,0,0,0,0.3,0.3,0.09,+0.7,+0.7
47,Paul Akouokou,ci CIV,MF,Betis,es La Liga,22,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
48,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,11.7,0,12,1,8.3,1.02,0.09,0.00,0.00,16.6,0,0,0,1.2,1.2,0.10,-1.2,-1.2
49,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,13.2,1,2,2,100.0,0.15,0.15,0.50,0.50,21.0,0,0,0,0.1,0.1,0.04,+0.9,+0.9
50,David Alaba,at AUT,"DF,MF",Bayern Munich,de Bundesliga,28,29.7,2,21,6,28.6,0.71,0.20,0.10,0.33,23.9,3,0,0,1.2,1.2,0.06,+0.8,+0.8
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
51,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,16.7,0,5,0,0.0,0.30,0.00,0.00,,21.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2
52,Jony Álamo,es ESP,MF,Elche,es La Liga,18,0.8,0,1,0,0.0,1.23,0.00,0.00,,26.1,0,0,0,0.0,0.0,0.03,0.0,0.0
53,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,27,13.8,11,39,18,46.2,2.82,1.30,0.23,0.50,13.4,0,2,2,7.2,5.7,0.14,+3.8,+3.3
54,Jordi Alba,es ESP,"DF,FW",Barcelona,es La Liga,31,33.6,3,27,10,37.0,0.80,0.30,0.11,0.30,20.2,1,0,0,1.9,1.9,0.07,+1.1,+1.1
55,Luis Alberto,es ESP,MF,Lazio,it Serie A,27,29.1,9,69,29,42.0,2.37,1.00,0.13,0.31,21.3,3,0,0,5.1,5.0,0.07,+3.9,+4.0
56,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,34.6,0,8,1,12.5,0.23,0.03,0.00,0.00,14.6,0,0,0,0.9,0.9,0.11,-0.9,-0.9
57,Marc Albrighton,eng ENG,"DF,FW",Leicester City,eng Premier League,30,19.4,1,21,9,42.9,1.08,0.46,0.05,0.11,21.2,0,0,0,1.2,1.2,0.06,-0.2,-0.2
58,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,26,17.2,6,35,16,45.7,2.04,0.93,0.14,0.31,14.0,3,1,2,9.0,7.5,0.21,-3.0,-2.5
59,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,10.1,0,2,0,0.0,0.20,0.00,0.00,,14.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1
60,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,29,20.6,1,22,5,22.7,1.07,0.24,0.05,0.20,23.3,1,0,0,1.2,1.2,0.06,-0.2,-0.2
61,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,29,24.1,1,28,3,10.7,1.16,0.12,0.04,0.33,25.1,7,0,0,1.8,1.8,0.06,-0.8,-0.8
62,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,14.4,0,6,2,33.3,0.42,0.14,0.00,0.00,15.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3
63,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,24.9,1,10,3,30.0,0.40,0.12,0.10,0.33,8.5,0,0,0,0.7,0.7,0.07,+0.3,+0.3
64,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,25,9.2,1,13,4,30.8,1.41,0.44,0.08,0.25,17.9,1,0,0,1.1,1.1,0.08,-0.1,-0.1
65,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,22,0.5,0,1,0,0.0,1.87,0.00,0.00,,17.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
66,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,22,15.2,2,30,8,26.7,1.98,0.53,0.07,0.25,22.0,0,0,0,1.7,1.7,0.06,+0.3,+0.3
67,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,eng Premier League,25,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
68,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,33.7,2,55,12,21.8,1.63,0.36,0.04,0.17,24.9,18,0,0,2.6,2.6,0.05,-0.6,-0.6
69,Alfon,es ESP,MF,Celta Vigo,es La Liga,21,0.4,0,1,1,100.0,2.65,2.65,0.00,0.00,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1
70,Mohamed Ali Cho,fr FRA,"FW,MF",Angers,fr Ligue 1,16,3.9,0,10,0,0.0,2.59,0.00,0.00,,13.0,0,0,0,1.9,1.9,0.19,-1.9,-1.9
71,Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,eng Premier League,28,27.3,2,25,8,32.0,0.91,0.29,0.08,0.25,19.0,0,0,0,1.6,1.6,0.06,+0.4,+0.4
72,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,28,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
73,Alisson,br BRA,GK,Liverpool,eng Premier League,27,33.0,1,1,1,100.0,0.03,0.03,1.00,1.00,8.4,0,0,0,0.1,0.1,0.09,+0.9,+0.9
74,Saturnin Allagbé,bj BEN,GK,Dijon,fr Ligue 1,26,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
75,Allan,br BRA,MF,Everton,eng Premier League,29,22.8,0,7,2,28.6,0.31,0.09,0.00,0.00,22.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
76,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,24,6.9,0,12,4,33.3,1.74,0.58,0.00,0.00,15.4,0,0,0,2.0,2.0,0.17,-2.0,-2.0
77,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,26,27.0,4,33,14,42.4,1.22,0.52,0.12,0.29,19.2,1,0,0,3.2,3.2,0.10,+0.8,+0.8
78,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,29,10.7,2,22,9,40.9,2.06,0.84,0.09,0.22,17.6,5,0,0,1.8,1.8,0.08,+0.2,+0.2
79,Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,28,17.4,0,6,2,33.3,0.34,0.11,0.00,0.00,17.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4
80,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,25,21.6,1,10,1,10.0,0.46,0.05,0.10,1.00,14.4,0,0,0,0.6,0.6,0.06,+0.4,+0.4
81,Bruno Alves,pt POR,DF,Parma,it Serie A,38,18.1,1,10,3,30.0,0.55,0.17,0.10,0.33,23.5,3,0,0,0.4,0.4,0.04,+0.6,+0.6
82,Steven Alzate,co COL,MF,Brighton,eng Premier League,21,10.0,1,7,2,28.6,0.70,0.20,0.14,0.50,18.7,0,0,0,0.8,0.8,0.12,+0.2,+0.2
83,Ibrahim Amadou,fr FRA,MF,Angers,fr Ligue 1,27,16.7,0,15,5,33.3,0.90,0.30,0.00,0.00,20.3,0,0,0,1.5,1.5,0.10,-1.5,-1.5
84,Romain Amalfitano,fr FRA,"FW,DF",Dijon,fr Ligue 1,30,1.3,0,2,0,0.0,1.55,0.00,0.00,,30.3,0,0,0,0.0,0.0,0.02,0.0,0.0
85,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
86,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,8.0,1,3,1,33.3,0.37,0.12,0.33,1.00,10.6,0,0,0,0.4,0.4,0.12,+0.6,+0.6
87,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,9.0,1,4,1,25.0,0.44,0.11,0.25,1.00,11.8,0,0,0,0.2,0.2,0.06,+0.8,+0.8
88,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,23,8.4,0,19,6,31.6,2.27,0.72,0.00,0.00,20.0,0,0,0,1.0,1.0,0.05,-1.0,-1.0
89,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
90,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,23,21.0,2,42,14,33.3,2.00,0.67,0.05,0.14,24.4,3,0,0,2.2,2.2,0.05,-0.2,-0.2
91,Ethan Ampadu,wls WAL,"DF,MF",Sheffield Utd,eng Premier League,19,23.2,0,7,2,28.6,0.30,0.09,0.00,0.00,19.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3
92,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,23,27.1,0,10,3,30.0,0.37,0.11,0.00,0.00,21.0,0,0,0,0.4,0.4,0.04,-0.4,-0.4
93,Jon Ander Garrido,es ESP,MF,Cádiz,es La Liga,30,8.9,0,5,1,20.0,0.56,0.11,0.00,0.00,14.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3
94,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,24,30.3,1,13,3,23.1,0.43,0.10,0.08,0.33,16.4,1,0,0,1.2,1.2,0.09,-0.2,-0.2
95,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,24,2.1,0,5,0,0.0,2.34,0.00,0.00,,21.9,1,0,0,0.3,0.3,0.07,-0.3,-0.3
96,Djavan Anderson,nl NED,DF,Lazio,it Serie A,25,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
97,Elliot Anderson,sct SCO,MF,Newcastle Utd,eng Premier League,17,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
98,Felipe Anderson,br BRA,"FW,MF",West Ham,eng Premier League,27,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
99,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,29,12.5,3,39,13,33.3,3.12,1.04,0.05,0.15,13.0,0,1,1,6.2,5.4,0.14,-3.2,-3.4
100,Nícolas Andrade,br BRA,GK,Udinese,it Serie A,32,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
101,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,29,32.1,0,19,7,36.8,0.59,0.22,0.00,0.00,15.2,0,0,0,1.6,1.6,0.08,-1.6,-1.6
102,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,25,28.1,5,41,9,22.0,1.46,0.32,0.12,0.56,24.0,4,0,0,2.6,2.6,0.06,+2.4,+2.4
103,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,23,18.6,0,6,1,16.7,0.32,0.05,0.00,0.00,22.1,0,0,0,0.5,0.5,0.08,-0.5,-0.5
104,Ángel,es ESP,GK,Granada,es La Liga,18,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
105,José Ángel,es ESP,DF,Eibar,es La Liga,30,10.0,0,2,0,0.0,0.20,0.00,0.00,,30.2,0,0,0,0.0,0.0,0.02,0.0,0.0
106,Miguel Ángel Rubio,es ESP,DF,Valladolid,es La Liga,22,1.5,0,1,0,0.0,0.67,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.11,-0.1,-0.1
107,Angeliño,es ESP,"DF,FW",RB Leipzig,de Bundesliga,23,24.0,4,35,13,37.1,1.46,0.54,0.11,0.31,16.1,4,0,0,4.2,4.2,0.12,-0.2,-0.2
108,Davide Angelo Ghislandi,it ITA,DF,Atalanta,it Serie A,19,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
109,Philip Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,17,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
110,Cristian Ansaldi,ar ARG,"DF,FW",Torino,it Serie A,33,21.6,1,17,6,35.3,0.79,0.28,0.00,0.00,23.5,4,1,1,1.9,1.1,0.07,-0.9,-1.1
111,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,24,30.1,0,12,4,33.3,0.40,0.13,0.00,0.00,14.9,0,0,0,1.3,1.3,0.10,-1.3,-1.3
112,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,30,21.9,10,63,22,34.9,2.87,1.00,0.16,0.45,13.4,0,0,0,12.9,12.9,0.22,-2.9,-2.9
113,José Antonio Miranda,gq EQG,"MF,DF",Getafe,es La Liga,22,0.3,0,1,0,0.0,3.46,0.00,0.00,,7.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1
114,Valentin Antov,bg BUL,DF,Bologna,it Serie A,19,2.6,0,1,0,0.0,0.39,0.00,0.00,,31.1,0,0,0,0.0,0.0,0.02,0.0,0.0
115,Houssem Aouar,fr FRA,"MF,FW",Lyon,fr Ligue 1,22,19.8,7,68,25,36.8,3.44,1.26,0.07,0.20,16.6,0,2,2,9.9,8.3,0.12,-2.9,-3.3
116,Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,fr Ligue 1,18,19.2,2,26,12,46.2,1.35,0.62,0.08,0.17,20.8,2,0,0,3.4,3.4,0.13,-1.4,-1.4
117,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,28,17.3,0,6,0,0.0,0.35,0.00,0.00,,18.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3
118,Aritz Arambarri,es ESP,DF,Real Sociedad,es La Liga,22,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
119,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,24,33.1,3,46,9,19.6,1.39,0.27,0.07,0.33,26.5,6,0,0,2.1,2.1,0.05,+0.9,+0.9
120,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,31,18.5,0,4,2,50.0,0.22,0.11,0.00,0.00,10.1,0,0,0,0.6,0.6,0.14,-0.6,-0.6
121,Luiz Araújo,br BRA,MF,Lille,fr Ligue 1,24,16.6,4,49,10,20.4,2.95,0.60,0.08,0.40,23.2,1,0,0,3.7,3.7,0.07,+0.3,+0.3
122,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,28,27.0,0,6,0,0.0,0.22,0.00,0.00,,11.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4
123,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,21,16.8,2,12,4,33.3,0.72,0.24,0.17,0.50,11.7,0,0,0,1.8,1.8,0.15,+0.2,+0.2
124,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,33,31.2,0,27,2,7.4,0.87,0.06,0.00,0.00,27.1,5,0,0,1.8,1.8,0.07,-1.8,-1.8
125,Alphonse Areola,fr FRA,GK,Fulham,eng Premier League,27,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
126,Santiago Arias,co COL,DF,Leverkusen,de Bundesliga,28,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
127,Karim Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26,3.3,0,8,2,25.0,2.45,0.61,0.00,0.00,13.5,0,0,0,0.8,0.8,0.10,-0.8,-0.8
128,Unai Arietaleanizbeaskoa,es ESP,"FW,MF",Eibar,es La Liga,21,0.5,0,1,0,0.0,1.91,0.00,0.00,,30.3,0,0,0,0.0,0.0,0.02,0.0,0.0
129,Nicolò Armini,it ITA,DF,Lazio,it Serie A,19,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
130,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,28,30.7,4,55,11,20.0,1.79,0.36,0.07,0.36,21.6,0,0,0,2.7,2.7,0.05,+1.3,+1.3
131,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,26,28.7,3,55,15,27.3,1.91,0.52,0.05,0.20,29.4,12,0,0,2.4,2.4,0.04,+0.6,+0.6
132,Toluwalase Arokodare,ng NGA,"FW,MF",Köln,de Bundesliga,19,1.2,0,3,1,33.3,2.41,0.80,0.00,0.00,10.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2
133,Sergio Arribas,es ESP,"MF,FW",Real Madrid,es La Liga,18,1.5,0,1,1,100.0,0.67,0.67,0.00,0.00,26.1,0,0,0,0.0,0.0,0.02,0.0,0.0
134,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,25,6.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
135,Tolgay Arslan,de GER,MF,Udinese,it Serie A,29,20.2,3,22,6,27.3,1.09,0.30,0.14,0.50,21.5,0,0,0,0.9,0.9,0.04,+2.1,+2.1
136,Kwadwo Asamoah,gh GHA,"DF,MF",Cagliari,it Serie A,31,2.5,0,2,1,50.0,0.80,0.40,0.00,0.00,23.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
137,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,23,8.5,1,7,3,42.9,0.83,0.35,0.14,0.33,21.0,0,0,0,0.3,0.3,0.04,+0.7,+0.7
138,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,31,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
139,Marco Asensio,es ESP,"FW,MF",Real Madrid,es La Liga,24,20.8,5,39,11,28.2,1.88,0.53,0.13,0.45,19.7,3,0,0,3.8,3.8,0.10,+1.2,+1.2
140,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,19,1.1,0,1,0,0.0,0.95,0.00,0.00,,24.4,0,0,0,0.0,0.0,0.03,0.0,0.0
